time,irvalue,redvalue
2025-03-02 00:34:43,29682,28735
2025-03-02 00:34:43,29695,28739
2025-03-02 00:34:43,29700,28722
2025-03-02 00:34:43,29696,28724
2025-03-02 00:34:43,29703,28721
2025-03-02 00:34:43,29713,28727
2025-03-02 00:34:43,29714,28737
2025-03-02 00:34:43,29724,28746
2025-03-02 00:34:43,29732,28743
2025-03-02 00:34:44,29741,28739
2025-03-02 00:34:44,29735,28731
2025-03-02 00:34:44,29733,28726
2025-03-02 00:34:44,29729,28738
2025-03-02 00:34:44,29746,28753
2025-03-02 00:34:44,29675,28723
2025-03-02 00:34:44,29682,28738
2025-03-02 00:34:44,29689,28746
2025-03-02 00:34:44,29699,28727
2025-03-02 00:34:44,29704,28719
2025-03-02 00:34:44,29712,28714
2025-03-02 00:34:44,29721,28726
2025-03-02 00:34:45,29737,28738
2025-03-02 00:34:45,29730,28745
2025-03-02 00:34:45,29740,28753
2025-03-02 00:34:45,29758,28759
2025-03-02 00:34:45,29750,28741
2025-03-02 00:34:45,29741,28731
2025-03-02 00:34:45,29748,28726
2025-03-02 00:34:45,29698,28713
2025-03-02 00:34:45,29697,28716
2025-03-02 00:34:45,29698,28724
2025-03-02 00:34:45,29715,28734
2025-03-02 00:34:45,29727,28735
2025-03-02 00:34:45,29719,28707
2025-03-02 00:34:46,29737,28713
2025-03-02 00:34:46,29722,28716
2025-03-02 00:34:46,29731,28722
2025-03-02 00:34:46,29740,28729
2025-03-02 00:34:46,29745,28743
2025-03-02 00:34:46,29752,28750
2025-03-02 00:34:46,29761,28746
2025-03-02 00:34:46,29721,28709
2025-03-02 00:34:46,29686,28700
2025-03-02 00:34:46,29694,28712
2025-03-02 00:34:46,29706,28720
2025-03-02 00:34:46,29718,28729
2025-03-02 00:34:46,29728,28740
2025-03-02 00:34:47,29736,28732
2025-03-02 00:34:47,29742,28707
2025-03-02 00:34:47,29733,28710
2025-03-02 00:34:47,29731,28730
2025-03-02 00:34:47,29748,28734
2025-03-02 00:34:47,29759,28732
2025-03-02 00:34:47,29759,28749
2025-03-02 00:34:47,29766,28754
2025-03-02 00:34:47,29731,28719
2025-03-02 00:34:47,29698,28694
2025-03-02 00:34:47,29703,28688
2025-03-02 00:34:47,29699,28708
2025-03-02 00:34:48,29727,28717
2025-03-02 00:34:48,29726,28716
2025-03-02 00:34:48,29737,28717
2025-03-02 00:34:48,29735,28731
2025-03-02 00:34:48,29744,28717
2025-03-02 00:34:48,29725,28704
2025-03-02 00:34:48,29733,28696
2025-03-02 00:34:48,29742,28710
2025-03-02 00:34:48,29759,28716
2025-03-02 00:34:48,29752,28726
2025-03-02 00:34:48,29747,28713
2025-03-02 00:34:48,29697,28713
2025-03-02 00:34:48,29700,28696
2025-03-02 00:34:49,29688,28704
2025-03-02 00:34:49,29699,28702
2025-03-02 00:34:49,29700,28707
2025-03-02 00:34:49,29709,28712
2025-03-02 00:34:49,29724,28727
2025-03-02 00:34:49,29742,28725
2025-03-02 00:34:49,29762,28719
2025-03-02 00:34:49,29766,28700
2025-03-02 00:34:49,29750,28696
2025-03-02 00:34:49,29753,28719
2025-03-02 00:34:49,29759,28727
2025-03-02 00:34:49,29730,28705
2025-03-02 00:34:50,29698,28710
2025-03-02 00:34:50,29710,28717
2025-03-02 00:34:50,29707,28700
2025-03-02 00:34:50,29717,28692
2025-03-02 00:34:50,29711,28689
2025-03-02 00:34:50,29721,28703
2025-03-02 00:34:50,29739,28706
2025-03-02 00:34:50,29741,28709
2025-03-02 00:34:50,29752,28716
2025-03-02 00:34:50,29755,28719
2025-03-02 00:34:50,29763,28703
2025-03-02 00:34:50,29751,28694
2025-03-02 00:34:50,29749,28709
2025-03-02 00:34:51,29744,28694
2025-03-02 00:34:51,29687,28684
2025-03-02 00:34:51,29698,28691
2025-03-02 00:34:51,29697,28702
2025-03-02 00:34:51,29703,28694
2025-03-02 00:34:51,29711,28673
2025-03-02 00:34:51,29711,28683
2025-03-02 00:34:51,29715,28708
2025-03-02 00:34:51,29737,28717
2025-03-02 00:34:51,29730,28710
2025-03-02 00:34:51,29735,28720
2025-03-02 00:34:51,29745,28721
2025-03-02 00:34:52,29752,28701
2025-03-02 00:34:52,29756,28693
2025-03-02 00:34:52,29753,28706
2025-03-02 00:34:52,29721,28679
2025-03-02 00:34:52,29703,28684
2025-03-02 00:34:52,29698,28701
2025-03-02 00:34:52,29707,28711
2025-03-02 00:34:52,29720,28698
2025-03-02 00:34:52,29715,28677
2025-03-02 00:34:52,29711,28672
2025-03-02 00:34:52,29714,28692
2025-03-02 00:34:52,29736,28698
2025-03-02 00:34:53,29735,28705
2025-03-02 00:34:53,29748,28713
2025-03-02 00:34:53,29755,28713
2025-03-02 00:34:53,29765,28697
2025-03-02 00:34:53,29747,28689
2025-03-02 00:34:53,29701,28664
2025-03-02 00:34:53,29700,28679
2025-03-02 00:34:53,29704,28687
2025-03-02 00:34:53,29709,28695
2025-03-02 00:34:53,29717,28693
2025-03-02 00:34:53,29734,28683
2025-03-02 00:34:53,29730,28668
2025-03-02 00:34:53,29724,28671
2025-03-02 00:34:54,29738,28680
2025-03-02 00:34:54,29742,28685
2025-03-02 00:34:54,29738,28696
2025-03-02 00:34:54,29749,28706
2025-03-02 00:34:54,29760,28713
2025-03-02 00:34:54,29767,28706
2025-03-02 00:34:54,29699,28672
2025-03-02 00:34:54,29676,28667
2025-03-02 00:34:54,29676,28675
2025-03-02 00:34:54,29691,28686
2025-03-02 00:34:54,29693,28686
2025-03-02 00:34:54,29711,28695
2025-03-02 00:34:54,29727,28685
2025-03-02 00:34:55,29729,28676
2025-03-02 00:34:55,29723,28676
2025-03-02 00:34:55,29732,28686
2025-03-02 00:34:55,29751,28693
2025-03-02 00:34:55,29757,28695
2025-03-02 00:34:55,29759,28707
2025-03-02 00:34:55,29774,28715
2025-03-02 00:34:55,29756,28695
2025-03-02 00:34:55,29690,28660
2025-03-02 00:34:55,29696,28657
2025-03-02 00:34:55,29692,28683
2025-03-02 00:34:55,29717,28688
2025-03-02 00:34:56,29721,28689
2025-03-02 00:34:56,29736,28701
2025-03-02 00:34:56,29740,28704
2025-03-02 00:34:56,29748,28687
2025-03-02 00:34:56,29746,28680
2025-03-02 00:34:56,29749,28682
2025-03-02 00:34:56,29761,28698
2025-03-02 00:34:56,29772,28691
2025-03-02 00:34:56,29763,28700
2025-03-02 00:34:56,29728,28688
2025-03-02 00:34:56,29723,28683
